operation_date;purpose;amount
29.09.2025;рах 1393 від 26.09.25 за перезарядку вогнегасника. У сумi 1975.00 грн.. ПДВ - 20 % 395.00 грн.;2370.00
26.09.2025;РАХ 7251-25/21629  ВIД 26.09.25 ЗА ВИКОРИСТАННЯ КОНТЕЙНЕРА. У СУМI 444.80 ГРН.. ПДВ - 20 % 88.96 ГРН.;533.76
26.09.2025;101 вiйськовий збiр  із відпускних за  жовтень 2025р.;2164.96
26.09.2025;101 ЄСВ 22% із відпускних за   жовтень  2025р.;9525.83
26.09.2025;101 ПДФО  із відпускних за   жовтень 2025р.;3771.17
26.09.2025;101 ПДФО   із відпускних за   жовтень 2025р.;4022.70
26.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;512.01
26.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;116.37
26.09.2025;101 ПДФО  із відпускних за  вересень 2025р.;418.91
26.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;200000.00
26.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;300000.00
26.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;300000.00
25.09.2025;БЛАГОДIЙНА ДОПОМОГА ЗГ. ЛИСТА №35/К-25 ВIД 24.09.25. БЕЗ ПДВ.;5000.00
25.09.2025;рах 2615/дз від 01.08.25 за считування данних. У сумi 542.50 грн.. ПДВ - 20 % 108.50 грн.;651.00
25.09.2025;РАХ 1339/0925/1 ВIД  19.09.25  ЗА ВОДОПОСТАЧАННЯ.  У сумi 1933.22 грн.. ПДВ - 20 % 386.64 грн.;2319.86
25.09.2025;рах 113 від 24.09.25 за   сигналізатор  газу.Без ПДВ.;1692.00
23.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;200000.00
23.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;200000.00
23.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;200000.00
22.09.2025;РАХ-ФАКТ 254  ВIД 22.09.25 ЗА ЗА РЕМОНТ БЛОКА .  Без ПДВ.;3650.50
22.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог УНЗ/1002-23/ПД від 10.02.2023 У сумi 3510.11 грн.. ПДВ - 20 % 702.02 грн.;4212.13
22.09.2025;рах 361 від 16.09.25 за тех. обслуговання. У сумi 4166.67 грн.. ПДВ - 20 % 833.33 грн.;5000.00
22.09.2025;РАХ 128  ВIД 22.09.25 ЗА РЕМОНТ. БЕЗ ПДВ.;13013.10
22.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;70000.00
22.09.2025;101 оренда землi за   серпень   2025;83740.37
22.09.2025;101 оренда землi за  серпень 2025;42706.47
22.09.2025;101 вiйськовий збiр лікарняні за рахунок підприємства  за вересень 2025р.;235.72
22.09.2025;101 ПДФО  лікарняні за рах. підприємства  за вересень 2025р.;848.58
22.09.2025;101 ЄСВ 22%  лікарняні за рахунок підприємства за вересень 2025р.;1037.16
19.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 242  від  17.09.25. У сумi 3110.00 грн.. ПДВ - 20 % 622.00 грн.;3732.00
19.09.2025;#4731219600328524 IПН 3342119793 дивiденди  за 2024 р. Тiмофєєву Є.О. Податки проплачено 14.05.25 р. у повному обсязi.;500000.00
19.09.2025;101 ЄСВ 22%  із заробітної плати за першу половину вересня 2025р.;572.00
19.09.2025;101 вiйськовий збiр  із заробітної плати за першу половину вересня 2025р.;130.00
19.09.2025;101 ПДФО  із заробітної плати за першу половину  вересня 2025р.;468.00
19.09.2025;101 ПДФО  із заробітної плати за першу половину вересня 2025р.;66884.07
19.09.2025;101 ЄСВ 22%  із заробітної плати за першу половину вересня 2025р.;241302.94
19.09.2025;101 вiйськовий збiр  із заробітної плати за першу половину вересня 2025р.;56736.78
19.09.2025;101 ПДФО iз заробiтної плати за першу половину  вересня 2025р.;1080.00
19.09.2025;101 ЄСВ  8.41%  із заробітної плати за першу половину вересня 2025р.;3187.75
19.09.2025;101 ПДФО  із заробітної плати за першу половину  вересня 2025р.;136288.35
19.09.2025;Оплата по дог №7 от 11.11.15 г. за металлопродукцию. У сумi 4166.67 грн.. ПДВ - 20 % 833.33 грн.;5000.00
18.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 327 від  01.07.18. У сумi 1485.00 грн.. ПДВ - 20 % 297.00 грн.;1782.00
18.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 345  від  01.07.17. У сумi 79.08 грн.. ПДВ - 20 % 15.82 грн.;94.90
18.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 364  від  01.09.19. У сумi 3650.00 грн.. ПДВ - 20 % 730.00 грн.;4380.00
18.09.2025;НАКЛ  3700163898  ВIД 18.09.25 ЗА ВОДУ.  У СУМI 500.00 ГРН.. ПДВ - 20 % 100.00 ГРН.;600.00
17.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;200000.00
17.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;450000.00
17.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;470000.00
17.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;480000.00
17.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;460000.00
17.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;490000.00
17.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;450000.00
17.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;7517.97
17.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;1708.63
17.09.2025;101 ПДФО  відпускні за  вересень 2025р.;6151.07
17.09.2025;рах 897221 від 31.08.25 за послуги водопостачання. У сумi 14.74 грн.. ПДВ - 20 % 2.95 грн.;17.69
17.09.2025;101 ПДФО   з лікарняних  за вересень 2025р;711.57
17.09.2025;101 ЄСВ  22%  з лікарняних  за   вересень 2025р;2407.59
17.09.2025;101 вiйськовий збiр  з лікарняних за вересень 2025р;547.18
17.09.2025;101 ПДФО  з лiкарняних за вересень 2025р.;1258.27
16.09.2025;дог 825174  вiд 15.09.03   о/р 825174 за послуги звязку у т.ч. ПДВ- 627.45 грн;4000.00
16.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 65 від  01.01.16. У сумi 1308.33 грн.. ПДВ - 20 % 261.67 грн.;1570.00
16.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 367 від  01.09.19. У сумi 3883.33 грн.. ПДВ - 20 % 776.67 грн.;4660.00
15.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 448 від  01.11.18. У сумi 4295.00 грн.. ПДВ - 20 % 859.00 грн.;5154.00
15.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог.  222 від  24.10.24. У сумi 7722.33 грн.. ПДВ - 20 % 1544.47 грн.;9266.80
15.09.2025;РАХ-ФАКТ 41-000000000040  ВIД 31.08.25  КОМПЕНСАЦIЯ ЗА ПРИЙМАННЯ ВОДИ.  У сумi 115.20 грн.. ПДВ - 20 % 23.04 грн.;138.24
15.09.2025;РАХ 369   ВIД  11.09.25 ЗА ТРАНСП.-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;40000.00
15.09.2025;РАХ 368   ВIД  11.09.25 ЗА ТРАНСП.-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;40000.00
15.09.2025;РАХ 367   ВIД  11.09.25 ЗА ТРАНСП.-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;40000.00
15.09.2025;101 вiйськовий збiр лікарняні за рахунок підприємства  за вересень 2025р.;423.20
15.09.2025;101 ПДФО  лікарняні за рах. підприємства  за вересень 2025р.;508.27
15.09.2025;101 ЄСВ 22%  лікарняні за рахунок підприємства за вересень 2025р.;1862.03
15.09.2025;101 ПДФО   лікарняні за рах. підприємства  за вересень 2025р.;1015.22
15.09.2025;рах 515 від 15.09.25 за шини. У сумi 13333.40 грн.. ПДВ - 20 % 2666.68 грн.;16000.08
15.09.2025;РАХ 20250915 ВIД 15.09.25  ЗА НАФТОПРОДУКТИ. У сумi 8333.33 грн.. ПДВ - 20 % 1666.67 грн.;10000.00
15.09.2025;СПЛАТА ЗА НАФТОПРОДУКТИ ЗГ. УГОДИ ПК-00142 ВIД 21.09.2023. У сумi 16666.67 грн.. ПДВ - 20 % 3333.33 грн.;20000.00
12.09.2025;рах №00-31 від 12.09.25 за ремонт колеса. Без ПДВ.;50000.00
12.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 114 від  06.05.25. У сумi 616.67 грн.. ПДВ - 20 % 123.33 грн.;740.00
12.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;279.69
12.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;1230.61
12.09.2025;101 ПДФО  відпускні за  вересень 2025р.;1006.87
12.09.2025;101 ЄСВ 22%  лікарняні за рахунок підприємства за вересень 2025р.;961.18
12.09.2025;101 вiйськовий збiр лікарняні за рахунок підприємства  за вересень 2025р.;218.45
12.09.2025;101 ПДФО лікарняні за рахунок підприємства за вересень 2025р.;786.42
11.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 62 від  01.01.20. У сумi 5812.50 грн.. ПДВ - 20 % 1162.50 грн.;6975.00
11.09.2025;101 ПДФО   із відпускних за вересень  2025р.;1869.73
11.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;2285.23
11.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;519.37
11.09.2025;РАХ 191 ВIД 11.09.25 ЗА  КОНСУЛЬТУВАННЯ. БЕЗ ПДВ.;85951.80
11.09.2025;Оплата згiдно  ДОГ. № 2/Тр  вiд 27.03.23 р.  за труби У сумi 4416666.67 грн.. ПДВ - 20 % 883333.33 грн.;5300000.00
10.09.2025;РАХ-ФАКТ СФ-379 ВIД 10.09.25  ЗА ТМЦ.  У сумi 5679.18 грн.. ПДВ - 20 % 1135.84 грн.;6815.02
10.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 223 від  29.10.24. У сумi 1635.42 грн.. ПДВ - 20 % 327.08 грн.;1962.50
10.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 213 від  14.08.25. У сумi 566.67 грн.. ПДВ - 20 % 113.33 грн.;680.00
10.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 112 від  01.03.20. У сумi 12945.58 грн.. ПДВ - 20 % 2589.12 грн.;15534.70
10.09.2025;Рах № 69 від 03.09. 2025;1511.05
10.09.2025;Рах № 68 від 03.09. 2025;1511.05
10.09.2025;Рах № 67 від 03.09. 2025;1511.05
10.09.2025;Рах № 66 від 03.09. 2025;1511.05
10.09.2025;Рах № 65 від 03.09. 2025;77839.62
10.09.2025;Рах № 64 від 03.09. 2025;74250.71
10.09.2025;Рах № 60 від 03.09. 2025;10000.00
10.09.2025;РАХ 124  ВIД 10.09.25 ЗА РЕМОНТ. БЕЗ ПДВ.;13884.00
10.09.2025;РАХ-ФАКТ МК00- 018256 ВIД 03.09.25 ЗА  IНФОРМ. ПОСЛУГИ. У СУМI 20900.00 ГРН.. ПДВ - 20 % 4180.00 ГРН.;25080.00
09.09.2025;рах 777052119195/10/1/П1 від 09.09.25 за акт е/е. У сумi 25220.59 грн.. ПДВ - 20 % 5044.12 грн.;30264.71
09.09.2025;рах 777052171732/9/1/П1 від 09.09.25 за акт е/е. У сумi 26979.00 грн.. ПДВ - 20 % 5395.80 грн.;32374.80
09.09.2025;рах 777052154658/10/1/П1 від 09.09.25 за акт е/е.  У сумi 21594.38 грн.. ПДВ - 20 % 4318.88 грн.;25913.26
09.09.2025;ЛIЦЕНЗIЙНА ПЛАТА ЗА ПРАВО КОРИСТУВАННЯ ПЗ ЗГIДНО ДОГОВОРУ №S-XPR2135 У СУМI 1941.67 ГРН.. ПДВ - 20 % 388.33 ГРН.;2330.00
09.09.2025;ЕЛЕКТРОН. КОМУНIКАЦ.  ПОСЛУГИ ДОГ. Q-TVK2330  ВIД 01.09.24. У сумi 526.27 грн.. ПДВ - 20 % 105.25 грн.;631.52
09.09.2025;АКТ-РАХ 84479 ВIД 25.08.25 ЗА ВОДОВIДВЕДЕННЯ. У Т.Ч.ПДВ - 24.07 ГРН.;144.40
08.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 196 від  01.11.22. У сумi 75654.17 грн.. ПДВ - 20 % 15130.83 грн.;90785.00
08.09.2025;РАХ 20250908 ВIД 08.09.25  ЗА НАФТОПРОДУКТИ. У сумi 12500.00 грн.. ПДВ - 20 % 2500.00 грн.;15000.00
08.09.2025;101 ПДФО  відпускні за  вересень 2025р.;2787.07
08.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;5774.66
08.09.2025;101 ПДФО   із відпускних за вересень  2025р.;1937.65
08.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;1312.43
08.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;100000.00
08.09.2025;акт-рах  за комунікац. послуги  дог 205596895 .У т.ч ПДВ - 947.67 грн.;6520.00
08.09.2025;101 вiйськовий збiр  допомога по тимчасовiй непрацездатностi за вересень 2025р;110.77
08.09.2025;101 ПДФО  допомога по тимчасовiй непрацездатностi за вересень 2025р;398.78
08.09.2025;101 ЄСВ  22%  допомога по тимчасовiй непрацездатностi за   вересень2025р;487.40
08.09.2025;РАХ.002615/0825РР ВIД 31.08.25  ПЕРЕТОКИ РЕАКТ. Е/Е. У сумi 6773.69 грн.. ПДВ - 20 % 1354.74 грн.;8128.43
08.09.2025;РАХ 09/1323 ВIД 27.08.25 ЗА ТЕХ.ОБСЛУГ. ГАЗОПРОВОДIВ. У сумi 291.81 грн.. ПДВ - 20 % 58.36 грн.;350.17
08.09.2025;РАХ 09/1324 ВIД 27.08.25 ЗА ТЕХ.ОБСЛУГ. ГАЗОПРОВОДIВ. У сумi 331.03 грн.. ПДВ - 20 % 66.21 грн.;397.24
08.09.2025;рах 11611 від 02.09.25 за розподіл природ. газу  за жовт. 20 р.У сумi 828.26 грн.. ПДВ - 20 % 165.65 грн.;993.91
08.09.2025;РАХ 091302  ВIД 31.08.25 ЗА АБОНОБСЛУГОВАННЯ. У СУМI 31.88 ГРН.. ПДВ - 20 % 6.38 ГРН.;38.26
08.09.2025;РАХ 091432  ВIД 31.08.25 ЗА АБОНОБСЛУГОВАННЯ. У СУМI 31.88 ГРН.. ПДВ - 20 % 6.38 ГРН.;38.26
08.09.2025;РАХ.2615/дз ВIД 01.09.25   ДИСТАНЦ. ЗЧИТУВАННЯ ДАНИХ. У сумi 542.50 грн.. ПДВ - 20 % 108.50 грн.;651.00
08.09.2025;295405116531 ОПЛ. ЗА ПОСЛУГИ РАХ 3322150666 ВІД 31.08.25. У  Т.Ч.ПДВ - 84.57 грн.;520.00
08.09.2025;Оплата згiдно  ДОГ. № 2/Тр  вiд 27.03.23 р.  за труби У сумi 3185000.00 грн.. ПДВ - 20 % 637000.00 грн.;3822000.00
05.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію договір  16/01-2025/01П від 16.01.2025;14818.50
05.09.2025;Повернення грошових  коштів за невідвантажену договір  141 від 06.06.2025;4940.00
05.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;600000.00
05.09.2025;СПЛАТА ЗА ПММ ЗГ. УГОДИ ПК-00142 ВIД 21.09.2023. У СУМI 8333.33 ГРН.. ПДВ - 20 % 1666.67 ГРН.;10000.00
05.09.2025;101 ЄСВ  22%  допомога по тимчасовiй непрацездатностi за   вересень2025р;2442.21
05.09.2025;101 вiйськовий збiр  допомога по тимчасовiй непрацездатностi за вересень 2025р;555.05
05.09.2025;101 ПДФО  допомога по тимчасовiй непрацездатностi за вересень  2025р;1998.17
05.09.2025;101 ЄСВ 8.41%  допомога по тимчасовiй непрацездатностi за   вересень2025р;933.59
05.09.2025;101 ПДФО  допомога по тимчасовiй непрацездатностi за серпень 2025р;18.53
05.09.2025;101 вiйськовий збiр  допомога по тимчасовiй непрацездатностi за серпень 2025р;5.15
05.09.2025;101 ЄСВ 22%  допомога по тимчасовiй непрацездатностi за серпень 2025р;22.65
05.09.2025;РАХ 5359/82025;2055.00
05.09.2025;101 вiйськовий збiр  із заробітної плати за  другу половину   серпня 2025р.;138822.29
05.09.2025;101 ПДФО  із заробітної плати за  другу половину  серпня 2025р.;334283.10
05.09.2025;101 ПДФО iз заробiтної плати за  другу половину  серпня 2025р.;1584.00
05.09.2025;101 ПДФО  із заробітної плати за  другу половину  серпня 2025р.;163893.29
05.09.2025;101 ЄСВ 22%  із заробітної плати за другу половину   серпня 2025р.;355064.38
05.09.2025;101 ЄСВ 8.41%  із заробітної плати за другу половину  серпня 2025р.;4335.36
05.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;50000.00
05.09.2025;Оплата по дог №7 от 11.11.15 г. за металлопродукцию. У сумi 4166.67 грн.. ПДВ - 20 % 833.33 грн.;5000.00
04.09.2025;РАХ-ФАКТ СФ-545   ВIД  02.09.25 ЗА ТМЦ.  У сумi 37298.33 грн.. ПДВ - 20 % 7459.67 грн.;44758.00
04.09.2025;рах 15 від 03.09.25 за ремонт ваг. У сумi 7800.00 грн.. ПДВ - 20 % 1560.00 грн.;9360.00
04.09.2025;дог 825174  вiд 15.09.03   о/р 825174 за послуги звязку у т.ч. ПДВ- 627.45 грн;4000.00
04.09.2025;РАХ-ФАКТ 3700155267 ВIД 04.09.25 ЗА ВОДУ.  У СУМI 500.00 ГРН.. ПДВ - 20 % 100.00 ГРН.;600.00
04.09.2025;ЗАБЕСПЕЧ. ПЕРЕТ. РЕАКТ Е/Е РАХ 30250120546380 ЗА 08/25 К/Р 110000024596. У сумi 1780.71 грн.. ПДВ - 20 % 356.14 грн.;2136.85
03.09.2025;РАХ420 ВIД 03.09.25 ЗА ТМЦ. БЕЗ ПДВ.;4500.00
03.09.2025;РАХ 9764  ВIД 03.09.25 ЗА  СПЕЦОДЯГ.  У сумi 4131.33 грн.. ПДВ - 20 % 826.27 грн.;4957.60
03.09.2025;Оплата по дог №7 от 11.11.15 г. за металлопродукцию. У сумi 5000.00 грн.. ПДВ - 20 % 1000.00 грн.;6000.00
03.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;110314.58
03.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;35200.00
03.09.2025;101 ПДФО   із відпускних за вересень  2025р.;397132.47
03.09.2025;Збір 13812. підтримання чинності ПУ 101551. Без ПДВ.;630.00
03.09.2025;Збір 13813. підтримання чинності ПУ 101551. Без ПДВ.;630.00
03.09.2025;Збір 13814. підтримання чинності ПУ 101551. Без ПДВ.;630.00
03.09.2025;Збір 13815. підтримання чинності ПУ 101551. Без ПДВ.;760.00
03.09.2025;рах 3554 від 03.09.25 за брус. Без ПДВ.;27900.00
03.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;12380.92
03.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;2813.84
03.09.2025;101 ПДФО   із відпускних за вересень  2025р.;4393.13
03.09.2025;101 ПДФО  відпускні за  вересень 2025р.;5736.70
02.09.2025;РАХ  № 0000-000995  ВIД 01.09.25 ЗА ОРЕНДУ ВАГОНЧИКА . У сумi 3000.00 грн.. ПДВ - 20 % 600.00 грн.;3600.00
02.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 119 від  01.02.17. У сумi 4369.61 грн.. ПДВ - 20 % 873.92 грн.;5243.53
02.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог. 126 від  01.06.21. У сумi 221.25 грн.. ПДВ - 20 % 44.25 грн.;265.50
02.09.2025;РАХ-ФАКТ 01-09 ВIД 01.09.25 ЗА ПОСЛУГИ ОРЕНДИ. У СУМI 49583.33 ГРН.. ПДВ - 20 % 9916.67 ГРН.;59500.00
02.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;300000.00
02.09.2025;РАХ-ФАКТ 11- 0007609 ВIД 01.09.25  ЗА ПОСЛУГИ ОХОРОНИ.  У СУМI 208.33 ГРН.. ПДВ - 20 % 41.67 ГРН.;250.00
02.09.2025;РАХ-ФАКТ 11- 0007610 ВIД 01.09.25  ЗА ПОСЛУГИ ОХОРОНИ. У сумi 833.24 грн.. ПДВ - 20 % 166.65 грн.;999.89
02.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;100000.00
02.09.2025;Оплата згiдно  ДОГ. № 2/Тр  вiд 27.03.23 р.  за труби У сумi 2166666.67 грн.. ПДВ - 20 % 433333.33 грн.;2600000.00
01.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;70000.00
01.09.2025;101 вiйськовий збiр  із відпускних за вересень  2025р.;18122.36
01.09.2025;101 ЄСВ 22% із відпускних за вересень  2025р.;35200.00
01.09.2025;101 ПДФО   із відпускних за вересень  2025р.;65240.49
01.09.2025;101 ЄСВ 22%  із заробітної плати за вересень 2025р.;3759.04
01.09.2025;101 ПДФО  із заробітної плати за  вересень 2025р.;3075.58
01.09.2025;101 вiйськовий збiр  із заробітної вересень 2025р.;854.33
01.09.2025;101 вiйськовий збiр лікарняні за рахунок підприємства  за серпень 2025р.;204.27
01.09.2025;101 ЄСВ 22%  лікарняні за рахунок підприємства за  серпень 2025р.;898.79
01.09.2025;101 ПДФО лікарняні за рахунок підприємства за серпень 2025р.;735.37
01.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;200000.00
01.09.2025;РАХ 7402 ВIД 01.09.25 ЗА АБОНПЛАТУ. У СУМI 291.67 ГРН.. ПДВ - 20 % 58.33 ГРН.;350.00
01.09.2025;РАХ 3371 ВIД 01.09.25 ЗА ПОСЛУГИ ОХОРОНИ. У СУМI 291.67 ГРН.. ПДВ - 20 % 58.33 ГРН.;350.00
01.09.2025;РАХ 1151 ВIД 01.09.25  ЗА АБОНПЛАТУ. У СУМI 1708.33 ГРН.. ПДВ - 20 % 341.67 ГРН.;2050.00
01.09.2025;рах 103 від 27.08.25 за виготовлення документації. У сумi 24080.00 грн.. ПДВ - 20 % 4816.00 грн.;28896.00
01.09.2025;РАХ 3/01-09 ВIД 01.09.25 ЗА  ДЕТАЛI. У сумi 2500.00 грн.. ПДВ - 20 % 500.00 грн.;3000.00
01.09.2025;Оплата згiдно  ДОГ. № 2/Тр  вiд 27.03.23 р.  за труби У сумi 875000.00 грн.. ПДВ - 20 % 175000.00 грн.;1050000.00
01.09.2025;Оплата згiдно  ДОГ. № 2/Тр  вiд 27.03.23 р.  за труби У сумi 2500000.00 грн.. ПДВ - 20 % 500000.00 грн.;3000000.00
29.08.2025;РАХ 7577 ВIД  29.08.25 ЗА КИСЕНЬ. У сумi 12500.00 грн.. ПДВ - 20 % 2500.00 грн.;15000.00
29.08.2025;ОПЛАТА ЗА ТМЦ ЗГ.РАХ.№186 ВIД  29.08.25.БЕЗ ПДВ.;3000.00
28.08.2025;101 вiйськ.збiр 5% оренд.плата  за  серпень 25 дог 1/05-25 від 30.04.2025;1172.85
28.08.2025;101 ПДФО18%  орендна плата за  серпень 25 Дог.1/05-25 від 30.04.2025;4222.26
28.08.2025;101 ПДФО18%  оренд. плата  за  серпень 25 Дог.1/05-25 від 30.04.2025;2111.13
28.08.2025;101 вiйськ.збiр 5% оренд.плата  за    серпень 25 Дог.1/05-25 від 30.04.2025;586.43
28.08.2025;#4731219653624860 IПН 3697903841орендна плата за серпень 25 Дог.1/05-25 від 30.04.2025;18061.89
28.08.2025;101 ПДФО18%  оренд. плата  за  серпень 25 Дог.1/05-25 від 30.04.2025;2111.13
28.08.2025;101 вiйськ.збiр  5% оренд.плата  за  серпень 25  Дог.1/05-25 від 30.04.2025;586.43
28.08.2025;РАХ 7251-25/19285 ВIД 28.08.25 ЗА ВИКОРИСТАННЯ КОНТЕЙНЕРА. У СУМI 444.80 ГРН.. ПДВ - 20 % 88.96 ГРН.;533.76
28.08.2025;СПЛАТА ЗА ПММ ЗГ. УГОДИ ПК-00142 ВIД 21.09.2023. У сумi 8333.33 грн.. ПДВ - 20 % 1666.67 грн.;10000.00
