operation_date;purpose;amount
05.09.2025;101 ПДФО  iз заробiтної плати  за другу половину   серпня 2025р.;532.97
05.09.2025;101 ЄСВ 22%  iз заробiтної плати  за  другу половину серпня 2025р.;5259.52
03.09.2025;101 ПДФО  з відпускних за вересень-жовтень 2025р. 2025р.;1627.26
03.09.2025;101 ЄСВ 22%  з відпускних за вересень-жовтень 2025р;1988.87
03.09.2025;101 Вiйськовий збiр iз  з відпускних за вересень-жовтень 2025р.;452.02
03.09.2025;"РАХ №761 ВIД 02.09.25  за  відшкодування витрат. У сумi 2890.65 грн.; ПДВ - 20 % 578.13 грн.";3468.78
02.09.2025;РАХ №754 ВIД 01.09.25  за  відшкодування витрат.  Без ПДВ.;384544.00
02.09.2025;"РАХ №758 ВIД 01.09.25  за транспортно-експедиторське обслуговування. У сумi 27980.00 грн.; ПДВ - 20 % 5596.00 грн.";33576.00
01.09.2025;РАХ 346 ВIД 21.09.25 ЗА ТРАНСПОРТНО-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;153100.00
01.09.2025;Попередня оплата за митне оформлення. Без ПДВ.;190000.00
01.09.2025;"96000032;1000009631  обслуговання. У сумi 7534.92 грн.; ПДВ - 20 % 1506.98 грн.";9041.90
01.09.2025;"РАХ 0298 ВIД 26.08.25 ЗА ПОСЛУГИ.  У СУМI 2083.33 ГРН.; ПДВ - 20 % 416.67 ГРН.";2500.00
01.09.2025;"РАХ 251 ВIД 31.08.25 ЗА   ПОСЛУГУ.У СУМI 5000.00 ГРН.; ПДВ - 20 % 1000.00 ГРН.";6000.00
01.09.2025;"РАХ 3365 ВIД 01.09.25 ЗА ПОСЛУГИ ОХОРОНИ. У СУМI 291.67 ГРН.; ПДВ - 20 % 58.33 ГРН.";350.00
29.08.2025;ПЕРЕРАХУВАННЯ КОШТIВ НА ОСОБИСТИЙ РАХУНОК. БЕЗ ПДВ.;300000.00
29.08.2025;РАХ №1223/2908 ВIД 29.08.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;7000.00
29.08.2025;РАХ. № 828 ВIД 29.0.25 ЗА ЗАЇЗД НА ТЕРМIНАЛ. БЕЗ ПДВ.;1200.00
27.08.2025;рах-факт № 27/08 від 27.08.25 за ТМЦ. Без ПДВ.;6080.00
27.08.2025;Попередня оплата за митне оформлення. Без ПДВ.;205000.00
26.08.2025;РАХ №1221/2008 ВIД 20.08.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;14000.00
26.08.2025;РАХ №746 ВIД 26.08.25  за  компенсація вартості перевезення  У т.ч. ПДВ - 29349.20 грн.;356730.00
25.08.2025;101 оренда землi за   липень 2025;68193.55
22.08.2025;РАХ №743 ВIД 21.08.25  за  відшкодування витрат.  У  т.ч ПДВ -  362.23 грн.;47451.68
22.08.2025;101 ЄСВ 22%  iз заробiтної плати  за  першу половину   серпня  2025р.;5920.97
22.08.2025;101 ПДФО  iз заробiтної плати першу половину  серпня 2025р.;586.27
22.08.2025;101 ПДФО iз заробiтної плати  за   першу половину  серпня 2025р;753.81
22.08.2025;101 Вiйськовий збiр iз заробiтної плати першу половину  серпня 2025р.;1345.67
22.08.2025;101 ПДФО iз заробiтної плати за  першу половину  серпня 2025р.;3504.34
21.08.2025;РАХ 333 ВIД 07.08.25 ЗА ТРАНСПОРТНО-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;155000.00
21.08.2025;РАХ 334 ВIД 07.08.25 ЗА ТРАНСПОРТНО-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;155000.00
21.08.2025;"рах 914/0825/1 від 20.08.25 за водопостачання. У сумi 480.67 грн.; ПДВ - 20 % 96.13 грн.";576.80
20.08.2025;РАХ. № 803 ВIД 20.08.25 ЗА ЗАЇЗД НА ТЕРМIНАЛ. БЕЗ ПДВ.;2400.00
20.08.2025;Попередня оплата за митне оформлення. Без ПДВ.;970000.00
20.08.2025;"РАХ №734 ВIД 19.08.25  за  відшкодування витрат. У сумi 15355.64 грн.; ПДВ - 20 % 3071.13 грн.";18426.77
19.08.2025;"РАХ №736 ВIД 19.08.25  за  транспортно-експедиторське обслуговування. У т.ч. ПДВ - 55016;56 грн";545470.78
19.08.2025;Попередня оплата за митне оформлення. Без ПДВ.;440000.00
11.08.2025;Попередня оплата за митне оформлення. Без ПДВ.;190000.00
11.08.2025;"рах  777052118948/9/1/П1 від 10.08.25  за акт. е/е.У сумi 9041.88 грн.; ПДВ - 20 % 1808.38 грн.";10850.25
11.08.2025;101 податок на прибуток за 1 півріччя 2025 р.;1322312.00
11.08.2025;"РАХ 216 ВIД 31.07.25 ЗА   ПОСЛУГУ.У СУМI 5000.00 ГРН.; ПДВ - 20 % 1000.00 ГРН.";6000.00
07.08.2025;101 Вiйськовий збiр iз заробiтної плати за   другу половину липня 2025р. 2025р;1331.68
07.08.2025;101 ПДФО iз заробiтної плати за  другу половину липня 2025р.;750.84
07.08.2025;101 ЄСВ 22%  iз заробiтної плати  за  другу половину липня 2025р.;5859.48
07.08.2025;101 ПДФО iз заробiтної плати за  другу половину липня 2025р.;3605.34
07.08.2025;101 ПДФО  iз заробiтної плати  за другу половину липня 2025р.;437.97
05.08.2025;"295378916663 ОПЛАТА ЗА ПОСЛУГИ РАХ 3312409431  ВIД 31.07.25.  У Т.Ч. ПДВ- 7;84 ГРН.";50.00
04.08.2025;"РАХ 3011 ВIД 01.08.25 ЗА ПОСЛУГИ ОХОРОНИ. У СУМI 291.67 ГРН.; ПДВ - 20 % 58.33 ГРН.";350.00
01.08.2025;"РАХ №718 ВIД 31.08.25  за  відшкодування витрат.  У т.ч. ПДВ - 543;11 грн.";71147.46
01.08.2025;101 ЄСВ 22%  відпускні за серпень 2025 р.;89.03
01.08.2025;101 ПДФО  відпускні за серпень 2025 р.;72.85
01.08.2025;101 Вiйськовий збiр  відпускні за серпень 2025 р.;20.24
31.07.2025;"РАХ №716 ВIД 30.07.25  за організація автоперевезення. У сумi 28425.00 грн.; ПДВ - 20 % 5685.00 грн.";34110.00
31.07.2025;"РАХ №715 ВIД 30.07.25  за  відшкодування витрат. У сумi 16813.56 грн.; ПДВ - 20 % 3362.71 грн.";20176.27
29.07.2025;"Сплата за постачання КП ""M.E.Doc"" згідно Рахунка на оплату №2103 від  28.07.2025 р.; в т.ч. ПДВ 20% - 1 180;00 грн.";7080.00
28.07.2025;"РАХ 0256 ВIД 24.06.25 ЗА ПОСЛУГИ.  У сумi 2083.33 грн.; ПДВ - 20 % 416.67 грн.";2500.00
25.07.2025;РАХ №1202/2407 ВIД 24.07.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;21500.00
25.07.2025;"РАХ №711 ВIД 24.07.25  за організація автоперевезення. У сумi 18990.00 грн.; ПДВ - 20 % 3798.00 грн.";22788.00
24.07.2025;"РАХ №708 ВIД 24.07.25  за відшкодування витрат. У сумi 11284.65 грн.; ПДВ - 20 % 2256.93 грн.";13541.58
24.07.2025;Попередня оплата за митне оформлення. Без ПДВ.;550000.00
23.07.2025;РАХ 296 ВIД 11.07.25 ЗА ТРАНСПОРТНО-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;154746.00
22.07.2025;"РАХ №704 ВIД 18.07.25 ЗА ОРГАНIЗАЦIЮ АВТОПЕРЕВЕЗЕНЬ.  У сумi 56850.00 грн.; ПДВ - 20 % 11370.00 грн.";68220.00
22.07.2025;РАХ №1197/2107 ВIД 21.07.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;7000.00
22.07.2025;РАХ №1198/2107 ВIД 21.07.25 ЗА ОФОРМЛЕННЯ ВМД. Без ПДВ.;16500.00
22.07.2025;101 ПДФО iз заробiтної плати  за   першу половину  липня 2025р;688.26
22.07.2025;101 ЄСВ 22%  iз заробiтної плати  за  першу половину   липня 2025р.;5118.42
22.07.2025;101 ПДФО iз заробiтної плати за  першу половину  липня 2025р.;3304.86
22.07.2025;101 Вiйськовий збiр iз заробiтної плати першу половину  липня 2025р.;1163.29
22.07.2025;101 ПДФО  iз заробiтної плати першу половину  липня 2025р.;194.65
21.07.2025;"РАХ № 914/0725/1 ВIД 21.07.25 ЗА ВОДОПОСТАЧАННЯ.  У сумi 404.22 грн.; ПДВ - 20 % 80.84 грн.";485.06
21.07.2025;Попередня оплата за митне оформлення. Без ПДВ.;145000.00
21.07.2025;РАХ. №695 ВIД 21.07.25 ЗА ЗАЇЗД НА ТЕРМIНАЛ. БЕЗ ПДВ.;1200.00
21.07.2025;Попередня оплата за митне оформлення. Без ПДВ.;220000.00
21.07.2025;"РАХ №705 ВIД 18.07.25 за організацію автоперевезень. У сумi 65471.00 грн.; ПДВ - 20 % 13094.20 грн.";78565.20
17.07.2025;РАХ 283 ВIД 07.07.25 ЗА ТРАНСПОРТНО-ЕКСПЕД. ПОСЛУГИ. Без ПДВ.;162230.00
15.07.2025;101 оренда землi за  червень 2025;68193.55
15.07.2025;РАХ №1191/1407 ВIД 14.07.25 ЗА ОФОРМЛЕННЯ ВМД. Без ПДВ.;7000.00
15.07.2025;"РАХ. №700 ВIД 14.07.25  ЗА ОРГАНІЗАЦІЮ АВТОПЕРЕВЕЗЕННЯ. У сумi 46875.00 грн.; ПДВ - 20 % 9375.00 грн.";56250.00
15.07.2025;РАХ. №667 ВIД 14.07.25 ЗА ЗАЇЗД НА ТЕРМIНАЛ. Без ПДВ.;1200.00
10.07.2025;РАХ 696 ВIД 08.07.25  за відшкодування витрат. Без ПДВ.;480300.00
09.07.2025;"РАХ 693 ВIД 09.07.25за транспортно-експедиторське облуговування. У сумi 34975.00 грн.; ПДВ - 20 % 6995.00 грн.";41970.00
09.07.2025;РАХ 689 ВIД 09.07.25 ЗА  ВIДШКОДУВАННЯ ВИТРАТ. Без ПДВ.;98257.00
09.07.2025;"РАХ 695 ВIД 09.07.25 затранспортно-експедиторське обслуговування. У сумi 6995.00 грн.; ПДВ - 20 % 1399.00 грн.";8394.00
09.07.2025;Попередня оплата за митне оформлення. Без ПДВ.;410000.00
09.07.2025;"РАХ 687 ВIД 07.07.25 за організацію автоперевезень . У сумi 9275.00 грн.; ПДВ - 20 % 1855.00 грн.";11130.00
09.07.2025;"РАХ 686 ВIД 07.07.25 ЗА  ВIДШКОДУВАННЯ ВИТРАТ. У сумi 20052.00 грн.; ПДВ - 20 % 4010.40 грн.";24062.40
08.07.2025;"Повернення грошових коштів за невідвантажену металопродукцію по дог.№34-Ф від 01.10.2022; зг.листа№б/н від 08.07.2025У сумi 4241.68 грн.; ПДВ - 20 % 848.34 грн.";5090.01
08.07.2025;РАХ №1185/0707 ВIД 07.07.25 ЗА ОФОРМЛЕННЯ ВМД. Без ПДВ.;39500.00
07.07.2025;РАХ №1168/2006 ВIД 20.06.25 ЗА ОФОРМЛЕННЯ ВМД. Без ПДВ.;20850.00
07.07.2025;"295378916663 оплата за послуги дог 3302409117 від 30.06.25.  у т.ч. ПДВ-12;84 грн.";81.88
07.07.2025;РАХ №1168/2006 ВIД 20.06.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;20850.00
07.07.2025;101 ЄСВ 22%  iз заробiтної плати  за  другу половину    червня 2025р;6061.86
07.07.2025;101 ПДФО iз заробiтної плати за   другу половину червня 2025р;3619.63
07.07.2025;101 ПДФО  iз заробiтної плати  за  другу половину  червня 2025р;586.27
07.07.2025;101 Вiйськовий збiр iз заробiтної плати   другу половину  червня   2025р;1377.70
07.07.2025;101 ПДФО iз заробiтної плати  за   другу половину  червня 2025р;753.81
07.07.2025;Попередня оплата за митне оформлення. Без ПДВ.;1300000.00
04.07.2025;Попередня оплата за митне оформлення. Без ПДВ.;550000.00
03.07.2025;"рах 682 від 02.07.25 за витрати за послуги .  У сумi 2930.55 грн.; ПДВ - 20 % 586.11 грн.";3516.66
03.07.2025;"рах 683 від 02.07.25 за  відшкодування витрат.  У сумi 18839.25 грн.; ПДВ - 20 % 3767.85 грн.";22607.10
03.07.2025;"РАХ 0195 ВIД 27.05.25 ЗА ПОСЛУГИ. У СУМI 2083.33 ГРН.; ПДВ - 20 % 416.67 ГРН.";2500.00
03.07.2025;101 ЄСВ 22%  відпускні за липень  2025р;583.32
03.07.2025;101 Вiйськовий збiр  відпускні за липень 2025р;132.57
03.07.2025;101 ПДФО   відпускні за липень 2025р;477.26
03.07.2025;РАХ №1182/0207 ВIД 02.07.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;41500.00
03.07.2025;РАХ №1180/0107 ВIД 01.07.25 ЗА ОФОРМЛЕННЯ ВМД. Без ПДВ.;44000.00
02.07.2025;"95967049;1000009631розпломбування . пломбування У сумi 10322.10 грн.; ПДВ - 20 % 2064.42 грн.";12386.52
02.07.2025;"РАХ 323  ВIД 02.07.25 ЗА ПРОВЕДЕННЯ ВИМІРІВ. У сумi 7765.00 грн.; ПДВ - 20 % 1553.00 грн.";9318.00
02.07.2025;"РАХ 0240 ВIД 01.07.25 ЗА ПОСЛУГИ. У СУМI 2083.33 ГРН.; ПДВ - 20 % 416.67 ГРН.";2500.00
02.07.2025;101 Внески на регулювання за 3 квартал  2025р.;517.61
02.07.2025;Попередня оплата за митне оформлення. Без ПДВ.;965000.00
02.07.2025;"РАХ 2643 ВIД 01.07.25 ЗА ПОСЛУГИ ОХОРОНИ. У СУМI 291.67 ГРН.; ПДВ - 20 % 58.33 ГРН.";350.00
01.07.2025;"95965798;1000009631 за считування. У сумi 232.71 грн.; ПДВ - 20 % 46.54 грн.";279.25
01.07.2025;"РАХ 183  ВIД 30.06.25 ЗА   ПОСЛУГУ.У СУМI 5000.00 ГРН.; ПДВ - 20 % 1000.00 ГРН.";6000.00
