client_activity_id;unit_id;year_id;group_id;expense_invoices;sales;note
76;000000500;1;4;13;"345335,51";
77;000000502;1;4;13;"114760,99";
78;000000506;1;3;4;"1565838,02";
79;000000508;1;2;2;121343;
80;000000518;1;3;6;219143;
81;000000519;1;2;3;37415;
82;000000530;1;4;36;"378786,9";
83;000000531;1;1;1;22940;
84;000000546;1;4;20;"335368,5";
85;000000559;1;3;5;"479646,51";
86;000000570;1;3;4;349404;
87;000000579;1;1;1;27191;
88;000000590;1;2;3;105762;
89;000000600;1;5;43;"522362,59";
90;000000603;1;2;2;5896;
91;000000607;1;1;1;52166;
92;000000616;1;2;2;181915;
93;000000620;1;4;20;"884426,3";
94;000000621;1;4;13;"901800,5";
95;000000622;1;3;5;57563;
96;000000624;1;2;2;"29401,6";
97;000000613;1;1;1;2730;
98;000000628;1;3;4;38178;
99;000000629;1;1;1;"8713,5";
100;000000631;1;1;1;"62096,4";
101;000000632;1;1;1;49774;
102;000000635;1;3;9;"2351374,19";
103;000000641;1;3;5;"842242,4";
104;000000642;1;4;12;"312784,99";
105;000000645;1;1;1;94800;
106;000000650;1;4;11;"437126,99";
107;000000651;1;3;6;"73340,5";
108;000000653;1;2;3;"67390,2";
109;000000654;1;2;2;"285593,5";
110;000000657;1;4;33;"1143876,9";
111;000000658;1;4;13;"1651382,79";
112;000000660;1;4;29;"5047346,06";
113;000000663;1;4;20;"620391,7";
114;000000673;1;1;1;16840;
115;000000676;1;4;13;"89295,95";
116;000000697;1;3;6;2250575;
117;000000703;1;5;49;"379444,19";
118;000000705;1;4;22;"909281,26";
119;000000714;1;4;20;"569783,9";
120;000000720;1;1;1;"63817,5";
121;000000726;1;1;1;185330;
122;000000751;1;2;3;"352129,5";
123;000000752;1;5;93;"1546259,99";
124;000000761;1;1;1;11610;
125;000000775;1;3;5;29038;
126;000000778;1;1;1;94550;
127;000000786;1;1;1;10940;
128;000000818;1;5;42;"4079829,09";
129;000000822;1;5;82;"3125880,14";
130;000000832;1;1;1;112520;
131;000000851;1;4;11;"497387,21";
132;000000893;1;4;21;"7099008,84";
133;000000903;1;5;42;"10759145,56";
134;000000905;1;4;15;"1018249,46";
135;000000910;1;4;19;"170830,13";
136;000000917;1;4;11;"67200,5";
137;000000925;1;2;3;211913;
138;000000943;1;3;5;"50470,1";
139;000000954;1;1;1;"13392,49";
140;000000956;1;3;5;"1453140,3";
141;000000958;1;3;7;"3707148,61";
142;000000975;1;3;4;"31145,5";
143;000000981;1;3;4;"1153472,5";
144;000000983;1;4;12;5240869;
145;000001001;1;1;1;12980;
146;000001006;1;2;3;19090;
147;000001009;1;4;12;"344443,51";
148;000001010;1;1;1;91098;
149;000001012;1;3;6;16497;
150;000001015;1;3;9;"179329,2";
151;000001016;1;4;39;"7546437,72";
152;000001026;1;3;6;62610;
153;000001028;1;2;2;3600;
154;000001048;1;2;2;45790;
155;000001055;1;1;1;16500;
156;000001069;1;2;3;249122;
157;000001085;1;1;1;10516;
158;000001104;1;1;1;29823;
159;000001108;1;2;3;28519;
160;000001122;1;4;17;"50976,5";
161;000001140;1;2;3;465499;
162;000001143;1;4;22;"1362574,53";
163;000001145;1;1;1;1800;
164;000001153;1;4;20;"145172,89";
165;000001160;1;4;38;"2063292,86";
166;000001161;1;5;52;"2608418,21";
167;000001164;1;4;37;"4657958,97";
168;000001166;1;1;1;271656;
169;000001169;1;3;6;150874;
170;000001174;1;1;1;129245;
171;000001178;1;2;2;523863;
172;000001183;1;1;1;69306;
173;000001189;1;2;2;"15279,6";
174;000001194;1;2;2;"4016,4";
175;000001209;1;3;5;186144;
176;000001211;1;4;12;59400;
177;000001214;1;5;42;"900846,05";
178;000001224;1;4;27;"9621323,26";
179;000001232;1;4;12;"307858,99";
180;000001242;1;5;54;"1552468,51";
181;000001256;1;3;4;"39679,69";
182;000001258;1;4;19;1091770;
183;000001260;1;3;4;1874341;
184;000001261;1;1;1;"64369,15";
185;000001263;1;2;2;2530;
186;000001268;1;2;2;121710;
187;000001282;1;5;107;"4495550,23";
188;000001286;1;1;1;124098;
189;000001303;1;1;1;15965;
190;000001305;1;1;1;37760;
191;000001310;1;4;15;3162409;
192;000001320;1;2;2;"16857,5";
193;000001329;1;4;20;"1128705,38";
194;000001332;1;2;3;60316;
195;000001350;1;4;34;"320808,3";
196;000001351;1;1;1;156366;
197;000001356;1;1;1;2275;
198;000111806;1;2;3;"1354522,96";
199;000001363;1;3;9;"73321,7";
200;000001365;1;5;54;"1887934,1";
201;000001370;1;2;2;60309;
202;000001371;1;4;12;"53559,7";
203;000001380;1;1;1;26520;
204;000001385;1;3;4;68300;
205;000001386;1;3;6;201652;
206;000001395;1;2;2;53065;
207;000001400;1;2;3;958791;
208;000001405;1;4;16;"73490,3";
209;000001413;1;2;3;102916;
210;000001427;1;1;1;114080;
211;000001435;1;2;2;6435;
212;000001463;1;1;1;1183;
213;000001486;1;4;19;"4707955,74";
214;000001499;1;1;1;32120;
215;000001506;1;1;1;8563;
216;000001514;1;2;3;55808;
217;000001515;1;1;1;"42852,5";
218;000001528;1;2;2;51994;
219;000001547;1;5;42;"570196,9";
220;000001549;1;2;3;279254;
221;000001558;1;1;1;13895;
222;000001579;1;1;1;14695;
223;000001580;1;5;41;"1094123,09";
224;000001589;1;1;1;6773;
225;000001594;1;2;2;16114;
226;000001598;1;2;3;22393;
227;000001601;1;1;1;40159;
228;000001603;1;1;1;11922;
229;000001617;1;1;1;30940;
230;000001620;1;1;1;"22720,18";
231;000001640;1;1;1;35460;
232;000001645;1;2;2;117111;
233;000001651;1;2;3;"90543,99";
234;000001657;1;3;4;170217;
235;000001660;1;1;1;51170;
236;000001662;1;4;35;"637869,5";
237;000001664;1;1;1;"3112,5";
238;000001670;1;2;2;"283334,5";
239;000001676;1;3;9;"146740,01";
240;000001679;1;1;1;34413;
241;000001680;1;2;2;14644;
242;000001682;1;1;1;131900;
243;000001683;1;1;1;46575;
244;000001691;1;2;3;77005;
245;000001698;1;3;6;223822;
246;000001700;1;2;2;65790;
247;000001711;1;1;1;72782;
248;000001733;1;3;4;32504;
249;000001745;1;2;3;83393;
250;000111807;1;4;12;"2909922,03";
251;000001760;1;1;1;"16235,6";
252;000001767;1;2;2;99560;
253;000001773;1;1;1;5520;
254;000001785;1;4;12;14850;
255;000001785;1;3;4;16910;
256;000001823;1;1;1;5805;
257;000001833;1;2;3;207615;
258;000001842;1;2;2;99283;
259;000001843;1;3;4;"7956,1";
260;000001847;1;4;12;76536;
261;000001856;1;1;1;128897;
262;000001866;1;3;8;136615;
263;000001875;1;3;9;"367087,5";
264;000001876;1;3;8;185992;
265;000001883;1;1;1;1840;
266;000001887;1;1;1;12410;
267;000001913;1;4;27;"1115062,65";
268;000001922;1;4;20;"1069140,49";
269;000001944;1;1;1;5564;
270;000001957;1;1;1;12100;
271;000001960;1;4;19;"816830,2";
272;000001980;1;4;22;"2240282,01";
273;000001987;1;1;1;1296;
274;000002002;1;2;3;"30149,26";
275;000002005;1;1;1;"16754,03";
276;000002009;1;3;6;85512;
277;000002016;1;4;13;"3599204,52";
278;000002027;1;2;2;6866;
279;000002029;1;2;3;417346;
280;000002033;1;1;1;77275;
281;000002047;1;4;16;"124940,9";
282;000002053;1;4;17;"685721,5";
283;000002060;1;2;3;"43780,11";
284;000002062;1;3;4;"185473,5";
285;000002067;1;1;1;12492;
286;000002073;1;1;1;12021;
287;000002075;1;2;3;346105;
288;000002083;1;3;6;294814;
289;000002084;1;3;5;1500;
290;000002085;1;3;7;111830;
291;000002086;1;3;7;864117;
292;000002088;1;1;1;5867;
293;000002093;1;1;1;4535;
294;000002095;1;2;2;"488497,5";
295;000002097;1;1;1;94490;
296;000002102;1;4;11;"741588,99";
297;000002111;1;2;2;46537;
298;000002117;1;1;1;30800;
299;000002130;1;2;3;76385;
300;000002133;1;3;7;39990;
301;000002139;1;2;2;"409618,01";
302;000002139;1;2;3;"1319265,5";
303;000002139;1;2;2;597190;
304;000002139;1;2;3;"757119,29";
305;000002139;1;4;27;"852379,9";
306;000002128;1;2;2;26895;
307;000002144;1;3;10;661493;
308;000002145;1;2;3;154362;
309;000002146;1;4;23;"2089436,29";
310;000002162;1;1;1;23749;
311;000002167;1;3;6;1691612;
312;000002170;1;3;4;"73008,5";
313;000002179;1;2;2;135625;
314;000002182;1;3;9;189777;
315;000002186;1;1;1;4668;
316;000002200;1;2;3;"205074,1";
317;000002201;1;1;1;20481;
318;000002220;1;3;6;"160011,12";
319;000002221;1;3;7;"1417376,13";
320;000002227;1;1;1;80127;
321;000002232;1;1;1;"695100,7";
322;000002240;1;1;1;118560;
323;000002242;1;2;3;"85683,6";
324;000002264;1;2;2;84836;
325;000002265;1;3;8;340102;
326;000002267;1;4;28;"1856597,1";
327;000002280;1;1;1;6383;
328;000002332;1;1;1;60000;
329;000002333;1;2;2;53993;
330;000010491;1;3;6;100531;
331;000010457;1;5;80;"4163907,16";
332;000002353;1;1;1;15552;
333;000002355;1;1;1;743535;
334;000002396;1;5;85;"3553104,6";
335;000002412;1;2;3;"6362,9";
336;000002415;1;5;49;"1309289,58";
337;000002425;1;3;7;"357425,5";
338;000002426;1;4;18;"771652,33";
339;000002446;1;1;1;16902;
340;000002467;1;4;12;479978;
341;000002504;1;2;2;237933;
342;000002532;1;1;1;6343;
343;000002536;1;1;1;13100;
344;000002541;1;1;1;"19054,01";
345;000002548;1;3;6;"575535,58";
346;000002550;1;4;32;"981787,14";
347;000002557;1;3;4;575015;
348;000002560;1;5;93;"1402191,41";
349;000002569;1;2;3;352311;
350;000002575;1;3;6;45005;
351;000002585;1;3;9;"95411,5";
352;000002586;1;3;4;20615;
353;000002588;1;3;8;73511;
354;000002589;1;4;23;"704921,44";
355;000002592;1;2;2;269353;
356;000002599;1;3;6;"66190,3";
357;000002612;1;2;3;"1082178,8";
358;000002624;1;4;24;"1897284,5";
359;000002654;1;1;1;5685;
360;000002677;1;3;5;"2346620,9";
361;000002692;1;4;35;"26367883,51";
362;000002693;1;3;5;"934442,7";
363;000002694;1;4;13;"306122,88";
364;000002698;1;3;5;"1041114,11";
365;000002717;1;1;1;29470;
366;000002718;1;1;1;9460;
367;000002720;1;1;1;124125;
368;000002721;1;3;10;"1051734,5";
369;000002726;1;1;1;3320;
370;000002728;1;2;3;668160;
371;000002735;1;2;2;"51937,99";
372;000002736;1;1;1;42760;
373;000002668;1;1;1;3740;
374;000002738;1;1;1;64558;
375;000002739;1;2;3;160405;
376;000002748;1;4;13;"216502,5";
377;000002760;1;3;4;134755;
378;000002770;1;1;1;11628;
379;000002785;1;2;3;"1386315,5";
380;000002797;1;3;6;1500;
381;000002800;1;2;2;"64148,2";
382;000002812;1;4;37;"4932225,31";
383;000002829;1;2;2;44080;
384;000002838;1;1;1;11750;
385;000002843;1;3;5;"119624,99";
386;000002861;1;4;26;"1052466,4";
387;000002863;1;3;5;15214;
388;000002894;1;2;2;"15194,6";
389;000001977;1;1;1;11850;
390;000002916;1;3;9;"445195,5";
391;000002928;1;3;7;"115885,09";
392;000002939;1;2;3;"16039,01";
393;000002950;1;4;21;"3241710,6";
394;000002955;1;2;2;46418;
395;000002981;1;1;1;20865;
396;000002983;1;3;7;"385123,6";
397;000002989;1;1;1;13010;
398;000002995;1;1;1;"1052,2";
399;000003009;1;2;2;124365;
400;000003024;1;2;3;98690;
401;000003029;1;1;1;34485;
402;000003027;1;2;3;116121;
403;000003033;1;4;31;"287853,5";
404;000003033;1;4;31;"2062259,9";
405;000003036;1;5;93;"10352035,11";
406;000003042;1;3;8;"121353,25";
407;000003048;1;2;3;"2395125,2";
408;000003050;1;1;1;57000;
409;000003052;1;2;2;2280;
410;000003067;1;1;1;2125;
411;000003068;1;2;2;"54817,5";
412;000003080;1;1;1;4874;
413;000003082;1;3;6;4161407;
414;000003085;1;4;14;522006;
415;000003095;1;3;4;"914253,83";
416;000003097;1;2;3;"109675,01";
417;000003109;1;4;11;"153061,5";
418;000003118;1;3;6;"569416,6";
419;000003123;1;4;16;"1352437,8";
420;000003124;1;4;13;"935840,4";
421;000003139;1;3;4;"120729,5";
422;000003142;1;1;1;1344;
423;000003159;1;4;11;121794;
424;000003174;1;4;13;"2905254,13";
425;000003178;1;2;2;4710;
426;000003195;1;1;1;48315;
427;000003204;1;1;1;71200;
428;000003212;1;3;6;"188993,4";
429;000003213;1;2;3;"212104,5";
430;000003216;1;4;13;"526276,99";
431;000003226;1;1;1;24480;
432;000003230;1;2;2;7972;
433;000003248;1;1;1;60750;
434;000003255;1;2;3;"88597,5";
435;000003262;1;2;2;766596;
436;000003264;1;4;19;"721813,9";
437;000003267;1;5;66;"9449142,6";
438;000003268;1;3;7;"828186,4";
439;000003270;1;1;1;13475;
440;000003281;1;4;31;"14448971,07";
441;000003294;1;2;2;173623;
442;000003296;1;1;1;1275;
443;000003298;1;2;3;33675;
444;000003306;1;1;1;6745;
445;000003310;1;1;1;129378;
446;000003317;1;3;5;"29658,4";
447;000003321;1;3;7;809266;
448;000003327;1;1;1;149620;
449;000003334;1;1;1;3406;
450;000003339;1;2;3;166754;
451;000003348;1;3;8;"372700,1";
452;000003358;1;4;12;"112048,2";
453;000003364;1;4;13;"621873,25";
454;000003365;1;3;9;589747;
455;000003367;1;3;10;364820;
456;000003370;1;1;1;"3963,6";
457;000003374;1;3;4;"126801,5";
458;000003385;1;4;19;"11027115,8";
459;000003389;1;2;3;20538;
460;000003417;1;1;1;"4720,01";
461;000003421;1;1;1;4293;
462;000003438;1;2;2;90430;
463;000003452;1;1;1;226100;
464;000003458;1;3;7;150544;
465;000003490;1;1;1;760380;
466;000003500;1;1;1;161780;
467;000003572;1;4;15;73450;
468;000003573;1;4;15;"257027,52";
469;000111808;1;2;3;"424884,19";
470;000003576;1;1;1;1979;
471;000003588;1;1;1;3020;
472;000003590;1;1;1;34405;
473;000003597;1;2;3;8839;
474;000003602;1;1;1;188462;
475;000003607;1;1;1;235422;
476;000003634;1;4;13;"1960959,5";
477;000003638;1;4;23;"646317,21";
478;000003639;1;4;17;"665094,49";
479;000003655;1;2;2;405750;
480;000003657;1;1;1;7670;
481;000003658;1;3;9;1126251;
482;000003663;1;4;14;"943572,88";
483;000003666;1;1;1;8793;
484;000003679;1;1;1;12345;
485;000003683;1;3;7;158883;
486;000011265;1;4;13;507393;
487;000003695;1;2;3;"38325,26";
488;000003696;1;2;2;140780;
489;000003697;1;1;1;44235;
490;000003703;1;3;4;"74337,5";
491;000003707;1;3;5;206694;
492;000003715;1;2;2;40005;
493;000003717;1;4;25;"9958007,3";
494;000003718;1;5;50;"6761870,59";
495;000003746;1;2;2;63650;
496;000003755;1;1;1;74504;
497;000003779;1;2;3;69369;
498;000003783;1;1;1;14350;
499;000003793;1;4;13;"5682470,41";
500;000003798;1;3;6;"6950,9";
501;000003816;1;4;15;"1037699,9";
502;000003821;1;1;1;50400;
503;000003826;1;5;75;"3044432,2";
504;000003828;1;1;1;20331;
505;000003842;1;1;1;100368;
506;000003855;1;1;1;4250;
507;000003865;1;2;2;2655;
508;000003870;1;2;3;231174;
509;000003871;1;2;2;99800;
510;000003873;1;3;4;"59816,8";
511;000003878;1;2;2;165425;
512;000003883;1;1;1;7055;
513;000003897;1;3;9;"786723,65";
514;000003898;1;2;3;171714;
515;000003917;1;5;128;"6885510,08";
516;000003938;1;3;8;199598;
517;000003940;1;5;67;"1570017,85";
518;000003942;1;3;10;"109371,5";
519;000003947;1;4;36;"119711,7";
520;000003951;1;1;1;2000;
521;000003952;1;3;10;"6515190,47";
522;000003958;1;3;10;62111;
523;000003960;1;5;102;"6221351,14";
524;000003966;1;1;1;"4600,5";
525;000003975;1;1;1;1060;
526;000003979;1;5;77;"2240140,01";
527;000003992;1;4;32;"919767,37";
528;000003997;1;3;4;720867;
529;000003998;1;4;18;"1828593,5";
530;000004003;1;1;1;37620;
531;000004024;1;1;1;66286;
532;000004033;1;1;1;"2709,2";
533;000004040;1;1;1;35916;
534;000004041;1;2;2;74896;
535;000004042;1;2;3;"110487,5";
536;000004049;1;4;36;"1890103,75";
537;000004057;1;3;7;220052;
538;000004066;1;1;1;552053;
539;000004077;1;2;2;"337183,8";
540;000004085;1;4;20;4447496;
541;000004086;1;1;1;7631;
542;000004120;1;3;5;"1017886,8";
543;000004132;1;1;1;5232;
544;000004158;1;4;18;"1286678,65";
545;000004163;1;1;1;16160;
546;000004165;1;4;12;"1817244,49";
547;000004172;1;2;2;46468;
548;000004174;1;4;24;"282561,26";
549;000111809;1;2;3;123348;
550;000004198;1;2;2;"7693,5";
551;000004199;1;4;22;"396442,28";
552;000004202;1;5;65;"9181967,1";
553;000004216;1;2;2;213515;
554;000004217;1;3;4;"22185,5";
555;000004224;1;1;1;5600;
556;000004232;1;3;10;"456945,52";
557;000004245;1;1;1;1610;
558;000004247;1;1;1;9780;
559;000004250;1;2;2;18480;
560;000004255;1;1;1;"32109,44";
561;000004260;1;2;2;14970;
562;000004264;1;2;2;7795;
563;000004268;1;2;2;13260;
564;000004292;1;1;1;11316;
565;000004302;1;4;31;311315;
566;000004304;1;3;10;1108634;
567;000004317;1;2;2;"541478,4";
568;000004329;1;2;2;133220;
569;000004330;1;3;6;273295;
570;000004344;1;5;58;"1080147,8";
571;000004346;1;2;2;1126986;
572;000004354;1;1;1;250971;
573;000004365;1;3;6;"905521,9";
574;000004394;1;3;7;"346885,5";
575;000004400;1;1;1;50419;
576;000004421;1;4;23;1032155;
577;000004436;1;4;16;551063;
578;000004439;1;1;1;356506;
579;000004445;1;4;21;"244315,5";
580;000004453;1;1;1;16800;
581;000004462;1;5;58;"664162,48";
582;000004464;1;4;12;469308;
583;000004468;1;5;69;"1226914,38";
584;000004471;1;4;18;"1193677,4";
585;000004474;1;2;2;"261234,3";
586;000004478;1;4;14;"250256,99";
587;000004491;1;1;1;1872;
588;000004500;1;5;43;"12255096,14";
589;000004501;1;5;127;"17846033,62";
590;000004509;1;2;3;852554;
591;000004510;1;3;7;"274972,5";
592;000004520;1;1;1;"35905,5";
593;000004523;1;2;2;"610445,2";
594;000004536;1;1;1;2540;
595;000004555;1;4;25;"1660368,51";
596;000004558;1;3;7;"1046861,59";
597;000004564;1;1;1;432757;
598;000004567;1;1;1;2035;
599;000004574;1;3;10;"137881,5";
600;000004575;1;2;2;16805;
601;000004581;1;2;2;"400169,6";
602;000004582;1;4;35;"917620,99";
603;000004584;1;3;6;"187986,99";
604;000004586;1;2;2;16560;
605;000004594;1;4;16;"1099248,7";
606;000004596;1;2;3;112150;
607;000004598;1;1;1;12600;
608;000004609;1;4;16;"343266,3";
609;000004617;1;2;2;"45509,25";
610;000004637;1;1;1;10440;
611;000004638;1;5;61;"1243451,4";
612;000004643;1;2;3;13183;
613;000004644;1;3;5;"57897,21";
614;000004647;1;1;1;120230;
615;000004649;1;2;3;"798765,5";
616;000004651;1;4;23;1886455;
617;000004653;1;2;3;"59273,8";
618;000004658;1;5;94;"1240436,38";
619;000004661;1;4;15;"94525,97";
620;000004666;1;4;15;3796603;
621;000004672;1;2;2;"16078,07";
622;000004674;1;1;1;"15017,5";
623;000004675;1;1;1;"12598,5";
624;000004676;1;3;6;206288;
625;000004685;1;1;1;"194484,5";
626;000004687;1;3;4;169647;
627;000004694;1;4;25;"1564010,5";
628;000004695;1;4;17;"487694,79";
629;000004696;1;2;2;170102;
630;000004725;1;1;1;38052;
631;000004731;1;1;1;216432;
632;000004734;1;4;40;"624029,7";
633;000004742;1;4;25;"965054,3";
634;000004743;1;1;1;42300;
635;000004747;1;4;37;"1958044,19";
636;000004759;1;4;22;"1138717,5";
637;000004765;1;1;1;"11527,1";
638;000004774;1;2;3;230549;
639;000004775;1;5;53;"3005179,68";
640;000004783;1;2;2;353916;
641;000004784;1;2;3;14383;
642;000004785;1;3;5;"228169,8";
643;000004803;1;1;1;41285;
644;000004826;1;1;1;179070;
645;000004832;1;1;1;239850;
646;000004837;1;4;24;"1986818,35";
647;000004839;1;2;3;19527;
648;000004840;1;2;2;13336;
649;000004846;1;2;2;"23492,5";
650;000004847;1;4;11;"1095808,9";
651;000004849;1;2;2;207279;
652;000004853;1;3;8;"1075416,7";
653;000004856;1;3;5;94389;
654;000004859;1;4;34;"1729385,92";
655;000004861;1;1;1;525577;
656;000004870;1;2;2;16430;
657;000004879;1;1;1;6000;
658;000004887;1;1;1;1350;
659;000004893;1;3;4;"581503,99";
660;000004909;1;1;1;84363;
661;000004911;1;3;5;24005;
662;000004924;1;3;9;"467900,5";
663;000004926;1;2;2;"22015,01";
664;000004943;1;1;1;"74719,01";
665;000004949;1;1;1;178000;
666;000004951;1;2;3;562710;
667;000004957;1;3;4;"68935,8";
668;000004150;1;3;4;"68457,36";
669;000004977;1;6;266;"8458337,43";
670;000004990;1;4;21;"1070145,39";
671;000005020;1;1;1;"4330,2";
672;000005026;1;1;1;"48933,5";
673;000005032;1;2;3;103746;
674;000005037;1;4;11;555133;
675;000005042;1;2;2;"11703,5";
676;000005053;1;1;1;4040;
677;000005055;1;5;105;"12437094,53";
678;000005067;1;4;12;35100;
679;000005073;1;1;1;25180;
680;000005079;1;2;2;24860;
681;000005097;1;1;1;13920;
682;000005109;1;2;3;"177527,8";
683;000005112;1;1;1;1620;
684;000005122;1;5;92;"1620230,48";
685;000005124;1;3;10;"3931737,5";
686;000005130;1;1;1;2865;
687;000005135;1;4;19;"1835153,7";
688;000005146;1;1;1;10215;
689;000005148;1;2;3;55705;
690;000005153;1;4;37;"452689,87";
691;000005154;1;4;26;"1711509,99";
692;000005160;1;1;1;1575;
693;000005161;1;3;6;537259;
694;000005164;1;4;29;"1508279,98";
695;000005189;1;4;19;"8750424,2";
696;000005190;1;4;14;"543531,11";
697;000005192;1;5;50;"8684235,73";
698;000005194;1;1;1;"36511,5";
699;000005229;1;2;2;1336400;
700;000005234;1;1;1;319800;
701;000005232;1;4;39;"638585,64";
702;000005245;1;1;1;"14702,5";
703;000005252;1;1;1;101595;
704;000005274;1;1;1;21700;
705;000005284;1;1;1;31500;
706;000005293;1;1;1;72220;
707;000005327;1;1;1;"5098,5";
708;000005328;1;4;17;421239;
709;000005332;1;1;1;10440;
710;000005342;1;4;31;"726592,49";
711;000005344;1;3;7;"645578,5";
712;000005347;1;3;8;"281371,68";
713;000005349;1;3;9;"1925220,99";
714;000005351;1;1;1;"77548,5";
715;000005368;1;2;2;201734;
716;000005380;1;3;4;470891;
717;000005405;1;3;9;2684954;
718;000005420;1;3;4;205933;
719;000005433;1;2;3;"5120,5";
720;000005438;1;4;15;"1734751,4";
721;000005441;1;3;6;2807171;
722;000005442;1;2;3;"192004,5";
723;000005445;1;3;6;"74831,51";
724;000005448;1;2;2;"20503,8";
725;000005474;1;3;7;"110727,2";
726;000005499;1;4;22;1436619;
727;000005504;1;4;32;"5405930,9";
728;000005507;1;2;3;"41018,6";
729;000005512;1;3;5;485014;
730;000005515;1;1;1;156975;
731;000005516;1;1;1;"44126,4";
732;000005517;1;3;9;"6291848,9";
733;000005518;1;2;2;90723;
734;000005521;1;4;31;"2116225,39";
735;000005524;1;3;7;"834930,6";
736;000005542;1;4;23;"1155310,5";
737;000005544;1;1;1;"6190,01";
738;000005554;1;4;30;"917301,03";
739;000005558;1;3;5;"1207129,5";
740;000005576;1;4;12;"56284,8";
741;000011678;1;2;3;661458;
742;000005589;1;5;128;"6890075,1";
743;000005606;1;5;51;"5395891,1";
744;000005610;1;2;3;"115178,5";
745;000005614;1;1;1;"21723,5";
746;000005632;1;2;3;"184883,4";
747;000005633;1;4;14;738001;
748;000005637;1;3;4;"17600,4";
749;000005656;1;4;15;2561331;
750;000005658;1;2;2;"69801,6";
751;000005673;1;3;7;549389;
752;000005677;1;3;5;33218;
753;000005678;1;3;4;378902;
754;000005689;1;1;1;11580;
755;000005690;1;1;1;4275;
756;000005692;1;1;1;6660;
757;000005700;1;1;1;6340;
758;000005708;1;1;1;1485;
759;000005711;1;4;11;3598732;
760;000005740;1;3;5;46270;
761;000005748;1;2;2;4140;
762;000005768;1;3;4;812152;
763;000005769;1;1;1;113100;
764;000005807;1;1;1;37080;
765;000005825;1;3;10;"526553,5";
766;000005826;1;2;2;79003;
767;000005831;1;3;9;"459384,5";
768;000005843;1;4;15;649564;
769;000005855;1;2;3;10585;
770;000005860;1;1;1;12285;
771;000005880;1;2;2;887389;
772;000005882;1;4;11;"870721,13";
773;000005893;1;4;37;"2562315,2";
774;000005898;1;2;2;21870;
775;000005903;1;4;19;"313151,7";
776;000005906;1;3;4;105757;
777;000005932;1;4;13;"326961,2";
778;000005944;1;3;7;"186679,26";
779;000005945;1;3;7;493884;
780;000005958;1;1;1;"6951,2";
781;000005975;1;2;2;716080;
782;000005979;1;3;5;974674;
783;000005986;1;3;4;57546;
784;000005990;1;3;8;652765;
785;000006000;1;2;3;85451;
786;000006007;1;4;15;"235102,5";
787;000006011;1;4;11;"514748,51";
788;000006032;1;2;2;17750;
789;000006038;1;4;31;"1494920,7";
790;000006056;1;3;4;"1514935,5";
791;000006064;1;1;1;18155;
792;000006067;1;3;8;88131;
793;000006069;1;2;2;14795;
